timestamp;objectName;mode;shapeType;x_len;y_len;diagonal;area;percent;units
2025-11-29T16:49:39.752Z;obj9;auto;circular;15.48;17.64;23.469;273.067;2.743;mm
2025-11-29T16:49:39.850Z;obj9;auto;circular;14.22;13.86;19.857;197.089;1.98;mm
2025-11-29T16:49:40.066Z;obj9;auto;circular;14.04;13.86;19.729;194.594;1.955;mm
2025-11-29T16:49:40.378Z;obj9;auto;rectangular;7.2;5.22;8.893;37.584;0.378;mm
2025-11-29T16:49:40.500Z;obj9;auto;circular;14.04;13.86;19.729;194.594;1.955;mm
2025-11-29T16:49:40.637Z;obj9;auto;circular;14.04;13.86;19.729;194.594;1.955;mm
2025-11-29T16:49:40.766Z;obj9;auto;circular;14.04;13.86;19.729;194.594;1.955;mm
2025-11-29T16:49:40.996Z;obj9;auto;circular;14.22;13.86;19.857;197.089;1.98;mm
2025-11-29T16:49:41.254Z;obj9;auto;circular;14.22;14.04;19.983;199.649;2.006;mm
2025-11-29T16:49:41.396Z;obj9;auto;circular;13.86;13.86;19.601;192.1;1.93;mm
2025-11-29T16:49:41.555Z;obj9;auto;circular;14.22;13.86;19.857;197.089;1.98;mm
2025-11-29T16:49:41.707Z;obj9;auto;circular;14.22;14.04;19.983;199.649;2.006;mm
2025-11-29T16:49:41.851Z;obj9;auto;circular;13.86;13.86;19.601;192.1;1.93;mm
2025-11-29T16:49:42.023Z;obj9;auto;circular;14.22;14.04;19.983;199.649;2.006;mm
2025-11-29T16:49:42.176Z;obj9;auto;circular;14.22;13.86;19.857;197.089;1.98;mm
2025-11-29T16:49:42.353Z;obj9;auto;circular;14.22;13.86;19.857;197.089;1.98;mm
2025-11-29T16:49:42.637Z;obj9;auto;circular;14.22;13.86;19.857;197.089;1.98;mm
2025-11-29T16:49:43.255Z;obj9;auto;circular;14.04;13.86;19.729;194.594;1.955;mm
2025-11-29T16:49:43.436Z;obj9;auto;circular;13.86;13.86;19.601;192.1;1.93;mm
2025-11-29T16:49:43.625Z;obj9;auto;circular;13.86;13.86;19.601;192.1;1.93;mm
2025-11-29T16:49:43.827Z;obj9;auto;circular;14.22;13.86;19.857;197.089;1.98;mm
2025-11-29T16:49:44.732Z;obj9;auto;circular;14.04;13.86;19.729;194.594;1.955;mm
