timestamp;objectName;mode;shapeType;x_len;y_len;diagonal;area;percent;units
2025-11-29T16:49:39.638Z;obj6;auto;rectangular;5.58;4.5;7.168;25.11;0.252;mm
2025-11-29T16:49:39.725Z;obj6;auto;circular;13.32;12.78;18.459;170.23;1.71;mm
2025-11-29T16:49:39.822Z;obj6;auto;circular;15.3;14.58;21.134;223.074;2.241;mm
2025-11-29T16:49:39.943Z;obj6;auto;circular;12.96;12.6;18.075;163.296;1.641;mm
2025-11-29T16:49:40.037Z;obj6;auto;circular;15.12;14.58;21.005;220.45;2.215;mm
2025-11-29T16:49:40.141Z;obj6;auto;circular;12.96;12.6;18.075;163.296;1.641;mm
2025-11-29T16:49:40.249Z;obj6;auto;circular;12.96;12.6;18.075;163.296;1.641;mm
2025-11-29T16:49:40.346Z;obj6;auto;circular;12.96;12.6;18.075;163.296;1.641;mm
2025-11-29T16:49:40.467Z;obj6;auto;circular;15.12;14.58;21.005;220.45;2.215;mm
2025-11-29T16:49:40.594Z;obj6;auto;rectangular;3.96;9;9.833;35.64;0.358;mm
2025-11-29T16:49:40.733Z;obj6;auto;circular;15.12;14.76;21.13;223.171;2.242;mm
2025-11-29T16:49:40.857Z;obj6;auto;circular;13.86;13.86;19.601;192.1;1.93;mm
2025-11-29T16:49:40.961Z;obj6;auto;circular;15.12;14.76;21.13;223.171;2.242;mm
2025-11-29T16:49:41.084Z;obj6;auto;circular;12.96;12.6;18.075;163.296;1.641;mm
2025-11-29T16:49:41.217Z;obj6;auto;circular;15.12;14.76;21.13;223.171;2.242;mm
2025-11-29T16:49:41.348Z;obj6;auto;rectangular;3.78;8.82;9.596;33.34;0.335;mm
2025-11-29T16:49:41.512Z;obj6;auto;circular;15.12;14.76;21.13;223.171;2.242;mm
2025-11-29T16:49:41.668Z;obj6;auto;circular;14.94;14.76;21.001;220.514;2.215;mm
2025-11-29T16:49:41.810Z;obj6;auto;rectangular;3.78;9.18;9.928;34.7;0.349;mm
2025-11-29T16:49:41.981Z;obj6;auto;circular;14.94;14.76;21.001;220.514;2.215;mm
2025-11-29T16:49:42.133Z;obj6;auto;circular;14.94;14.58;20.875;217.825;2.188;mm
2025-11-29T16:49:42.311Z;obj6;auto;circular;14.94;14.58;20.875;217.825;2.188;mm
2025-11-29T16:49:42.459Z;obj6;auto;circular;13.86;13.86;19.601;192.1;1.93;mm
2025-11-29T16:49:42.593Z;obj6;auto;circular;15.12;14.58;21.005;220.45;2.215;mm
2025-11-29T16:49:42.748Z;obj6;auto;circular;12.96;12.6;18.075;163.296;1.641;mm
2025-11-29T16:49:42.900Z;obj6;auto;circular;12.96;12.6;18.075;163.296;1.641;mm
2025-11-29T16:49:43.045Z;obj6;auto;circular;12.96;12.6;18.075;163.296;1.641;mm
2025-11-29T16:49:43.207Z;obj6;auto;circular;14.94;14.58;20.875;217.825;2.188;mm
2025-11-29T16:49:43.387Z;obj6;auto;rectangular;3.78;8.82;9.596;33.34;0.335;mm
2025-11-29T16:49:43.576Z;obj6;auto;rectangular;3.96;9.18;9.998;36.353;0.365;mm
2025-11-29T16:49:43.777Z;obj6;auto;circular;14.94;14.58;20.875;217.825;2.188;mm
2025-11-29T16:49:43.984Z;obj6;auto;circular;12.96;12.6;18.075;163.296;1.641;mm
2025-11-29T16:49:44.146Z;obj6;auto;circular;12.96;12.6;18.075;163.296;1.641;mm
2025-11-29T16:49:44.323Z;obj6;auto;circular;12.96;12.78;18.201;165.629;1.664;mm
2025-11-29T16:49:44.492Z;obj6;auto;circular;12.96;12.6;18.075;163.296;1.641;mm
2025-11-29T16:49:44.676Z;obj6;auto;circular;15.12;14.76;21.13;223.171;2.242;mm
