timestamp;objectName;mode;shapeType;x_len;y_len;diagonal;area;percent;units
2025-11-29T16:49:39.743Z;obj8;auto;circular;14.4;14.22;20.238;204.768;2.057;mm
2025-11-29T16:49:39.841Z;obj8;auto;circular;14.04;13.86;19.729;194.594;1.955;mm
2025-11-29T16:49:39.963Z;obj8;auto;circular;14.04;13.86;19.729;194.594;1.955;mm
2025-11-29T16:49:40.057Z;obj8;auto;circular;14.04;13.86;19.729;194.594;1.955;mm
2025-11-29T16:49:40.171Z;obj8;auto;circular;14.04;13.86;19.729;194.594;1.955;mm
2025-11-29T16:49:40.269Z;obj8;auto;circular;14.04;13.86;19.729;194.594;1.955;mm
2025-11-29T16:49:40.366Z;obj8;auto;circular;14.22;13.86;19.857;197.089;1.98;mm
2025-11-29T16:49:40.489Z;obj8;auto;circular;13.86;13.86;19.601;192.1;1.93;mm
2025-11-29T16:49:40.625Z;obj8;auto;circular;12.96;12.6;18.075;163.296;1.641;mm
2025-11-29T16:49:40.755Z;obj8;auto;circular;13.86;13.86;19.601;192.1;1.93;mm
2025-11-29T16:49:40.984Z;obj8;auto;circular;13.86;13.86;19.601;192.1;1.93;mm
2025-11-29T16:49:41.121Z;obj8;auto;circular;14.22;14.04;19.983;199.649;2.006;mm
2025-11-29T16:49:41.242Z;obj8;auto;circular;13.86;13.86;19.601;192.1;1.93;mm
2025-11-29T16:49:41.384Z;obj8;auto;circular;12.96;12.78;18.201;165.629;1.664;mm
2025-11-29T16:49:41.540Z;obj8;auto;circular;14.04;13.86;19.729;194.594;1.955;mm
2025-11-29T16:49:41.695Z;obj8;auto;circular;13.86;13.86;19.601;192.1;1.93;mm
2025-11-29T16:49:41.837Z;obj8;auto;circular;12.96;12.78;18.201;165.629;1.664;mm
2025-11-29T16:49:42.009Z;obj8;auto;circular;13.86;13.86;19.601;192.1;1.93;mm
2025-11-29T16:49:42.162Z;obj8;auto;circular;13.86;13.86;19.601;192.1;1.93;mm
2025-11-29T16:49:42.339Z;obj8;auto;circular;13.86;13.86;19.601;192.1;1.93;mm
2025-11-29T16:49:42.623Z;obj8;auto;circular;13.86;13.86;19.601;192.1;1.93;mm
2025-11-29T16:49:42.789Z;obj8;auto;circular;14.22;13.86;19.857;197.089;1.98;mm
2025-11-29T16:49:42.930Z;obj8;auto;circular;14.22;13.86;19.857;197.089;1.98;mm
2025-11-29T16:49:43.090Z;obj8;auto;circular;14.22;13.86;19.857;197.089;1.98;mm
2025-11-29T16:49:43.239Z;obj8;auto;circular;13.86;13.86;19.601;192.1;1.93;mm
2025-11-29T16:49:43.420Z;obj8;auto;circular;12.96;12.6;18.075;163.296;1.641;mm
2025-11-29T16:49:43.609Z;obj8;auto;circular;12.96;12.78;18.201;165.629;1.664;mm
2025-11-29T16:49:43.811Z;obj8;auto;circular;13.86;13.86;19.601;192.1;1.93;mm
2025-11-29T16:49:44.020Z;obj8;auto;circular;14.22;13.86;19.857;197.089;1.98;mm
2025-11-29T16:49:44.181Z;obj8;auto;circular;14.04;13.86;19.729;194.594;1.955;mm
2025-11-29T16:49:44.362Z;obj8;auto;circular;14.04;13.86;19.729;194.594;1.955;mm
2025-11-29T16:49:44.528Z;obj8;auto;circular;14.04;14.04;19.856;197.122;1.98;mm
2025-11-29T16:49:44.714Z;obj8;auto;circular;13.86;13.86;19.601;192.1;1.93;mm
